trust_exp,runoff_bolsonaro,runoff_haddad,vote_haddad,vote_bolsonaro,runoff_nulo,ideo_place_self,positive_partisanship,negative_partisanship,covid_job,covid_health,covid_government,treat_neutral_bolsonaro,treat_neutral_haddad,treat_negative_bolsonaro,treat_negative_haddad,treat_reaction,treat_emotions,control_neutral_bolsonaro,control_neutral_haddad,control_negative_bolsonaro,control_negative_haddad,income,age,gender,work,education,treat_negative,treatment_haddad,treatment_bolsonaro,negative_bolsonaro,neutral_bolsonaro,negative_haddad,neutral_haddad,anti,petistas,nonpartisans
treatment,On,Off,Off,On,Off,3,Não Sei,Não sei,Somewhat unlikely,Somewhat Likely,Somewhat Unappropriate,0,1,0,0,"“Curtir”,“Retuitar""",Preocupado,0,0,0,0,2,Entre 46 e 55,Man,Unemployed,Segundo Grau/Ensino Médio Completo,0,1,0,0,0,0,1,0,0,1
control,Off,On,Off,Off,Off,1,NA,Partido Social Democrático (PSD),Somewhat Likely,Somewhat Likely,Somewhat Unappropriate,0,0,0,0,"“Curtir”,“Retuitar""","Triste,Preocupado",0,0,0,1,6,Entre 18 e 25,Man,Unemployed,Segundo Grau/Ensino Médio Completo,1,1,0,0,0,1,0,0,NA,NA
treatment,On,Off,Off,On,Off,8,Nenhum,Partido dos Trabalhadores (PT),Very unlikely,Somewhat unlikely,Very Appropriate,1,0,0,0,“Curtir”,Otimista,0,0,0,0,7,Mais do que 65,Man,Unemployed,Pós-graduação,0,0,1,0,1,0,0,1,0,0
treatment,Off,On,On,Off,Off,8,Partido dos Trabalhadores (PT),Não sei,Very Likely,Very Likely,Somewhat Appropriate,0,1,0,0,"""Ignorar”",Indiferente,0,0,0,0,3,Entre 18 e 25,Feminino,Unemployed,Ensino Superior Incompleto,0,1,0,0,0,0,1,0,1,0
control,On,Off,Off,On,Off,5,Nenhum,Partido dos Trabalhadores (PT),Very Likely,Very Likely,Very Appropriate,0,0,0,0,“Curtir”,Contente,0,0,1,0,3,Entre 36 e 45,Man,Unemployed,Segundo Grau/Ensino Médio Completo,1,0,1,1,0,0,0,1,0,0
treatment,Off,Off,Off,Off,On,5,Nenhum,Todos igualmente,Very Likely,Somewhat unlikely,NA,1,0,0,0,“Curtir”,Otimista,0,0,0,0,3,Entre 26 e 35,Feminino,Unemployed,Segundo Grau/Ensino Médio Completo,0,0,1,0,1,0,0,0,0,1
treatment,On,Off,Off,On,Off,-999,Prefiro Não Responder,Partido dos Trabalhadores (PT),Somewhat unlikely,Somewhat unlikely,Somewhat Appropriate,0,0,0,1,"""Ignorar”",Indiferente,0,0,0,0,6,Entre 46 e 55,Feminino,Unemployed,Segundo Grau/Ensino Médio Incompleto,1,1,0,0,0,1,0,1,0,0
treatment,Off,On,On,Off,Off,-999,Nenhum,Prefiro não Responder,Very unlikely,Somewhat Likely,Not Appropriate,0,0,1,0,"“Retuitar""","Irritado,Enojado,Triste,Preocupado",0,0,0,0,NA,Entre 46 e 55,Feminino,Unemployed,Ensino Superior Completo,1,0,1,1,0,0,0,0,0,1
treatment,Off,Off,Off,Off,On,10,Nenhum,Todos igualmente,Very Likely,Very Likely,Very Appropriate,1,0,0,0,"""Ignorar”",Irritado,0,0,0,0,10,Entre 26 e 35,Man,Employed,Pós-graduação,0,0,1,0,1,0,0,0,0,1
treatment,Off,Off,Off,Off,On,2,Nenhum,Todos igualmente,Very unlikely,Somewhat Likely,Not Appropriate,0,0,1,0,“Responder/Reply”,Enojado,0,0,0,0,4,Entre 26 e 35,Man,Employed,Ensino Superior Completo,1,0,1,1,0,0,0,0,0,1
control,Off,On,On,Off,Off,4,Nenhum,Não sei,Somewhat Likely,Somewhat Likely,Not Appropriate,0,0,0,0,"""Ignorar”",Enojado,0,0,1,0,4,Entre 36 e 45,Feminino,Unemployed,Ensino Superior Incompleto,1,0,1,1,0,0,0,0,0,1
treatment,Off,On,Off,Off,Off,0,Partido da Social Democracia (PSDB),Partido Social Liberal (PSL),Somewhat Likely,Somewhat Likely,Not Appropriate,0,0,0,1,“Curtir”,Otimista,0,0,0,0,10,Entre 46 e 55,Man,Employed,Segundo Grau/Ensino Médio Completo,1,1,0,0,0,1,0,0,0,1
treatment,Off,Off,Off,Off,On,-999,Nenhum,Todos igualmente,Somewhat unlikely,Very Likely,Somewhat Unappropriate,1,0,0,0,"""Ignorar”","Irritado,Triste",0,0,0,0,5,Entre 26 e 35,Feminino,Employed,Ensino Superior Completo,0,0,1,0,1,0,0,0,0,1
control,On,Off,Off,Off,Off,7,Nenhum,Partido dos Trabalhadores (PT),Somewhat Likely,Somewhat unlikely,Somewhat Unappropriate,0,0,0,0,"""Ignorar”",Indiferente,0,0,1,0,5,Entre 26 e 35,Feminino,Unemployed,Segundo Grau/Ensino Médio Completo,1,0,1,1,0,0,0,1,0,0
treatment,Off,On,On,Off,Off,5,Prefiro Não Responder,Prefiro não Responder,Very unlikely,Very Likely,Somewhat Unappropriate,0,0,1,0,"""Ignorar”",Enojado,0,0,0,0,3,Entre 18 e 25,Man,Unemployed,Segundo Grau/Ensino Médio Completo,1,0,1,1,0,0,0,0,0,1
control,On,Off,Off,On,Off,10,Prefiro Não Responder,Partido dos Trabalhadores (PT),Somewhat unlikely,Very Likely,Somewhat Appropriate,0,0,0,0,"""Ignorar”","Triste,Preocupado",0,0,0,1,10,Entre 46 e 55,Man,Employed,Ensino Superior Completo,1,1,0,0,0,1,0,1,0,0
treatment,Off,Off,Off,Off,On,-999,Nenhum,Prefiro não Responder,Somewhat Likely,Somewhat Likely,Not Appropriate,1,0,0,0,"""Ignorar”",Indiferente,0,0,0,0,2,Entre 36 e 45,Feminino,Employed,Segundo Grau/Ensino Médio Completo,0,0,1,0,1,0,0,0,0,1
treatment,On,Off,Off,On,Off,5,Nenhum,Partido dos Trabalhadores (PT),Somewhat unlikely,Somewhat unlikely,Somewhat Unappropriate,0,1,0,0,"""Ignorar”",Estressado,0,0,0,0,6,Entre 36 e 45,Feminino,Employed,Ensino Superior Completo,0,1,0,0,0,0,1,1,0,0
treatment,Off,On,Off,Off,Off,10,Prefiro Não Responder,Prefiro não Responder,Very Likely,Somewhat Likely,Not Appropriate,0,0,1,0,"""Ignorar”",Preocupado,0,0,0,0,2,Entre 36 e 45,Feminino,Unemployed,Segundo Grau/Ensino Médio Completo,1,0,1,1,0,0,0,0,0,1
treatment,Off,Off,Off,Off,On,8,Nenhum,Todos igualmente,Somewhat Likely,Somewhat Likely,Somewhat Unappropriate,0,0,0,1,“Curtir”,Preocupado,0,0,0,0,6,Entre 26 e 35,Feminino,Unemployed,Segundo Grau/Ensino Médio Completo,1,1,0,0,0,1,0,0,0,1
treatment,Off,On,Off,Off,Off,0,Partido dos Trabalhadores (PT),Partido Social Liberal (PSL),Somewhat Likely,Somewhat unlikely,Somewhat Unappropriate,0,0,0,1,"“Curtir”,“Retuitar""","Irritado,Enojado,Estressado,Triste,Preocupado",0,0,0,0,5,Entre 26 e 35,Man,Unemployed,Ensino Superior Completo,1,1,0,0,0,1,0,0,1,0
control,Off,On,Off,Off,Off,0,Partido dos Trabalhadores (PT),Movimento Democrático Brasileiro (MDB),Somewhat unlikely,Somewhat Likely,Not Appropriate,0,0,0,0,"""Ignorar”",Preocupado,1,0,0,0,3,Entre 46 e 55,Man,Employed,Pós-graduação,0,0,1,0,1,0,0,0,1,0
control,Off,Off,Off,Off,On,6,Nenhum,Prefiro não Responder,Very Likely,Somewhat Likely,Somewhat Appropriate,0,0,0,0,“Curtir”,Otimista,0,0,0,1,9,Entre 26 e 35,Feminino,Unemployed,Segundo Grau/Ensino Médio Completo,1,1,0,0,0,1,0,0,0,1
treatment,Off,Off,Off,Off,On,5,Nenhum,Partido dos Trabalhadores (PT),Somewhat unlikely,Somewhat Likely,Not Appropriate,0,0,1,0,"""Ignorar”",Preocupado,0,0,0,0,5,Entre 26 e 35,Man,Employed,Ensino Superior Completo,1,0,1,1,0,0,0,1,0,0
treatment,Off,Off,Off,Off,On,10,Nenhum,Prefiro não Responder,Very Likely,Somewhat unlikely,Somewhat Appropriate,0,0,1,0,"""Ignorar”",Preocupado,0,0,0,0,5,Entre 18 e 25,Feminino,Unemployed,Ensino Superior Incompleto,1,0,1,1,0,0,0,0,0,1
control,On,Off,Off,On,Off,10,Nenhum,Todos igualmente,Very unlikely,Somewhat Likely,Somewhat Appropriate,0,0,0,0,"""Ignorar”","Irritado,Enojado",0,0,0,1,4,Entre 26 e 35,Feminino,Unemployed,Ensino Superior Completo,1,1,0,0,0,1,0,0,0,1
treatment,Off,On,Off,Off,Off,2,Nenhum,Partido Social Liberal (PSL),Very unlikely,Somewhat unlikely,Somewhat Unappropriate,1,0,0,0,"""Ignorar”","Irritado,Enojado,Preocupado",0,0,0,0,4,Entre 18 e 25,Feminino,Unemployed,Ensino Superior Incompleto,0,0,1,0,1,0,0,0,0,1
treatment,Off,On,Off,Off,Off,3,Nenhum,Todos igualmente,Somewhat Likely,Somewhat Likely,Somewhat Unappropriate,0,0,0,1,"""Ignorar”",Indiferente,0,0,0,0,NA,Entre 26 e 35,Man,Unemployed,Ensino Superior Completo,1,1,0,0,0,1,0,0,0,1
treatment,Off,Off,Off,Off,On,5,Nenhum,Todos igualmente,Very unlikely,Somewhat unlikely,Not Appropriate,0,0,0,1,“Curtir”,"Irritado,Enojado,Estressado,Triste",0,0,0,0,8,Entre 46 e 55,Feminino,Unemployed,Pós-graduação,1,1,0,0,0,1,0,0,0,1
control,Off,On,On,Off,Off,7,Partido dos Trabalhadores (PT),Prefiro não Responder,Very Likely,Somewhat Likely,Not Appropriate,0,0,0,0,"""Ignorar”",Irritado,0,0,1,0,5,Entre 18 e 25,Feminino,Employed,Segundo Grau/Ensino Médio Completo,1,0,1,1,0,0,0,0,1,0
control,Off,On,On,Off,Off,3,Nenhum,Partido Social Liberal (PSL),Somewhat Likely,Somewhat Likely,Not Appropriate,0,0,0,0,"""Ignorar”",Preocupado,1,0,0,0,3,Entre 36 e 45,Man,Unemployed,Pós-graduação,0,0,1,0,1,0,0,0,0,1
treatment,Off,Off,Off,Off,On,7,Nenhum,Não sei,Somewhat Likely,Somewhat Likely,Somewhat Unappropriate,1,0,0,0,"""Ignorar”",Indiferente,0,0,0,0,6,Entre 18 e 25,Feminino,Unemployed,Ensino Superior Completo,0,0,1,0,1,0,0,0,0,1
treatment,On,Off,Off,On,Off,-999,Partido Social Liberal (PSL),Partido dos Trabalhadores (PT),Very Likely,Very Likely,Somewhat Appropriate,0,0,1,0,"""Ignorar”",Preocupado,0,0,0,0,1,Entre 46 e 55,Man,Employed,Segundo Grau/Ensino Médio Incompleto,1,0,1,1,0,0,0,0,0,0
treatment,Off,On,On,Off,Off,3,Partido dos Trabalhadores (PT),Não sei,Very unlikely,Somewhat Likely,Somewhat Unappropriate,0,0,0,1,"“Curtir”,“Retuitar""",Preocupado,0,0,0,0,2,Entre 18 e 25,Man,Unemployed,Segundo Grau/Ensino Médio Completo,1,1,0,0,0,1,0,0,1,0
treatment,Off,On,On,Off,Off,7,Nenhum,Partido Social Liberal (PSL),Somewhat Likely,Somewhat unlikely,Not Appropriate,1,0,0,0,"""Ignorar”","Irritado,Enojado,Preocupado",0,0,0,0,2,Entre 26 e 35,Feminino,Employed,Ensino Superior Completo,0,0,1,0,1,0,0,0,0,1
treatment,Off,Off,Off,Off,On,5,Partido da Social Democracia (PSDB),Partido dos Trabalhadores (PT),Somewhat Likely,Very Likely,Not Appropriate,0,0,0,1,“Curtir”,"Estressado,Preocupado",0,0,0,0,6,Entre 36 e 45,Feminino,NA,Segundo Grau/Ensino Médio Completo,1,1,0,0,0,1,0,0,0,0
control,On,Off,Off,Off,Off,8,Prefiro Não Responder,Partido dos Trabalhadores (PT),Very unlikely,Very unlikely,Not Appropriate,0,0,0,0,"""Ignorar”",Indiferente,1,0,0,0,4,Entre 46 e 55,Feminino,Unemployed,Ensino Superior Completo,0,0,1,0,1,0,0,1,0,0
control,Off,On,On,Off,Off,0,Partido dos Trabalhadores (PT),Democratas (DEM),Somewhat unlikely,Somewhat Likely,Somewhat Appropriate,0,0,0,0,“Curtir”,Indiferente,0,0,0,1,4,Entre 36 e 45,Man,Employed,Ensino Superior Incompleto,1,1,0,0,0,1,0,0,1,0
treatment,Off,Off,Off,Off,On,10,Nenhum,Não sei,Very Likely,Very Likely,Somewhat Unappropriate,0,1,0,0,“Curtir”,Preocupado,0,0,0,0,9,Entre 46 e 55,Feminino,Unemployed,Primário Completo,0,1,0,0,0,0,1,0,0,1
treatment,On,Off,Off,On,Off,5,Nenhum,Partido dos Trabalhadores (PT),Somewhat unlikely,Somewhat unlikely,Somewhat Unappropriate,0,1,0,0,“Curtir”,Preocupado,0,0,0,0,4,Entre 36 e 45,Feminino,Employed,Ensino Superior Completo,0,1,0,0,0,0,1,1,0,0
control,Off,Off,Off,Off,On,5,Nenhum,Todos igualmente,Very unlikely,Very unlikely,Very Appropriate,0,0,0,0,"""Ignorar”",Preocupado,1,0,0,0,1,Entre 46 e 55,Feminino,Unemployed,Segundo Grau/Ensino Médio Completo,0,0,1,0,1,0,0,0,0,1
treatment,Off,Off,Off,Off,On,5,Nenhum,Todos igualmente,Very unlikely,Somewhat Likely,Somewhat Unappropriate,0,0,1,0,"""Ignorar”",Indiferente,0,0,0,0,5,Entre 26 e 35,Man,Employed,Pós-graduação,1,0,1,1,0,0,0,0,0,1
treatment,Off,Off,Off,Off,On,2,Não Sei,Partido Social Liberal (PSL),Somewhat Likely,Somewhat Likely,Somewhat Unappropriate,1,0,0,0,“Responder/Reply”,"Irritado,Enojado,Preocupado",0,0,0,0,6,Entre 26 e 35,Feminino,Employed,Ensino Superior Completo,0,0,1,0,1,0,0,0,0,1
treatment,Off,Off,Off,Off,On,2,Nenhum,Todos igualmente,Very Likely,Somewhat unlikely,Somewhat Unappropriate,0,1,0,0,"""Ignorar”",Indiferente,0,0,0,0,6,Entre 26 e 35,Feminino,Employed,Pós-graduação,0,1,0,0,0,0,1,0,0,1
control,Off,On,Off,Off,Off,5,Nenhum,Todos igualmente,Somewhat unlikely,Very Likely,Not Appropriate,0,0,0,0,“Curtir”,Preocupado,0,1,0,0,7,Entre 36 e 45,Feminino,Employed,Pós-graduação,0,1,0,0,0,0,1,0,0,1
control,Off,Off,Off,Off,On,0,Nenhum,Todos igualmente,Very Likely,Very Likely,Somewhat Unappropriate,0,0,0,0,"""Ignorar”",Preocupado,0,0,0,1,3,Entre 36 e 45,Feminino,Unemployed,Ensino Superior Completo,1,1,0,0,0,1,0,0,0,1
control,On,Off,Off,Off,Off,5,Prefiro Não Responder,Prefiro não Responder,Very Likely,Somewhat Likely,Somewhat Appropriate,0,0,0,0,"""Ignorar”",Indiferente,0,1,0,0,5,Entre 26 e 35,Feminino,Unemployed,Ensino Superior Completo,0,1,0,0,0,0,1,0,0,1
treatment,On,Off,Off,On,Off,-999,Nenhum,Partido dos Trabalhadores (PT),Very unlikely,Very Likely,Not Appropriate,0,0,0,1,"""Ignorar”",Indiferente,0,0,0,0,1,Entre 36 e 45,Feminino,Employed,Segundo Grau/Ensino Médio Completo,1,1,0,0,0,1,0,1,0,0
treatment,Off,On,Off,Off,Off,3,Não Sei,Partido Social Liberal (PSL),Very Likely,Somewhat Likely,Not Appropriate,0,1,0,0,"""Ignorar”",Preocupado,0,0,0,0,8,Entre 18 e 25,Man,Unemployed,Ensino Superior Completo,0,1,0,0,0,0,1,0,0,1
control,Off,On,On,Off,Off,0,Partido dos Trabalhadores (PT),Partido da Social Democracia (PSDB),Very unlikely,Somewhat unlikely,Not Appropriate,0,0,0,0,"""Ignorar”",Triste,1,0,0,0,4,Entre 36 e 45,Man,Employed,Segundo Grau/Ensino Médio Completo,0,0,1,0,1,0,0,0,1,0
control,Off,Off,Off,Off,On,2,Outro,Partido dos Trabalhadores (PT),Somewhat Likely,Very Likely,Not Appropriate,0,0,0,0,"“Curtir”,“Retuitar""","Irritado,Preocupado",1,0,0,0,5,Entre 18 e 25,Feminino,Employed,Ensino Superior Incompleto,0,0,1,0,1,0,0,0,0,0
treatment,On,Off,Off,On,Off,10,Nenhum,Não sei,Somewhat unlikely,Somewhat unlikely,Somewhat Unappropriate,0,0,0,1,"""Ignorar”",Preocupado,0,0,0,0,8,Entre 46 e 55,Man,Unemployed,Segundo Grau/Ensino Médio Incompleto,1,1,0,0,0,1,0,0,0,1
treatment,On,Off,Off,On,Off,10,Nenhum,Todos igualmente,Very unlikely,Somewhat Likely,Somewhat Unappropriate,0,0,0,1,"""Ignorar”",Indiferente,0,0,0,0,5,Entre 26 e 35,Man,Employed,Ensino Superior Incompleto,1,1,0,0,0,1,0,0,0,1
control,Off,Off,Off,Off,On,-999,Nenhum,Todos igualmente,Very Likely,Somewhat Likely,Somewhat Appropriate,0,0,0,0,"""Ignorar”",Preocupado,0,1,0,0,3,Entre 36 e 45,Man,Unemployed,Pós-graduação,0,1,0,0,0,0,1,0,0,1
treatment,Off,Off,Off,Off,On,5,Nenhum,Todos igualmente,Somewhat unlikely,Somewhat Likely,Somewhat Unappropriate,1,0,0,0,"""Ignorar”",Irritado,0,0,0,0,5,Entre 18 e 25,Feminino,Unemployed,Ensino Superior Incompleto,0,0,1,0,1,0,0,0,0,1
treatment,Off,On,Off,Off,Off,1,Prefiro Não Responder,Prefiro não Responder,Somewhat Likely,Somewhat unlikely,Not Appropriate,0,0,0,1,"“Curtir”,“Retuitar""",Triste,0,0,0,0,3,Entre 36 e 45,Feminino,Unemployed,Primário Completo,1,1,0,0,0,1,0,0,0,1
treatment,Off,Off,Off,Off,On,5,Nenhum,Todos igualmente,Very Likely,Somewhat Likely,Not Appropriate,0,0,1,0,"""Ignorar”","Irritado,Enojado,Estressado",0,0,0,0,5,Entre 26 e 35,Feminino,Unemployed,Ensino Superior Completo,1,0,1,1,0,0,0,0,0,1
treatment,On,Off,Off,On,Off,6,Prefiro Não Responder,Partido Social Democrático (PSD),Somewhat unlikely,Somewhat unlikely,Very Appropriate,0,1,0,0,"""Ignorar”",Enojado,0,0,0,0,3,Entre 46 e 55,Man,Employed,Segundo Grau/Ensino Médio Completo,0,1,0,0,0,0,1,0,0,1
control,Off,Off,Off,Off,On,4,Não Sei,Partido da Social Democracia (PSDB),Somewhat unlikely,Somewhat Likely,Somewhat Unappropriate,0,0,0,0,“Curtir”,"Irritado,Preocupado",0,0,0,1,2,Entre 26 e 35,Feminino,Employed,Ensino Superior Completo,1,1,0,0,0,1,0,0,0,1
treatment,Off,Off,Off,Off,On,0,Nenhum,Todos igualmente,Somewhat Likely,Very Likely,Not Appropriate,1,0,0,0,"""Ignorar”","Estressado,Triste,Preocupado",0,0,0,0,6,Entre 18 e 25,Feminino,Employed,Ensino Superior Incompleto,0,0,1,0,1,0,0,0,0,1
control,Off,Off,Off,Off,On,-999,Nenhum,Todos igualmente,Somewhat Likely,Somewhat Likely,Not Appropriate,0,0,0,0,“Curtir”,Preocupado,0,1,0,0,NA,Entre 36 e 45,Feminino,Employed,Segundo Grau/Ensino Médio Completo,0,1,0,0,0,0,1,0,0,1
treatment,Off,On,Off,Off,Off,5,Nenhum,Todos igualmente,Somewhat unlikely,Very Likely,Somewhat Appropriate,0,0,1,0,"""Ignorar”",Enojado,0,0,0,0,2,Entre 46 e 55,Feminino,Employed,Segundo Grau/Ensino Médio Completo,1,0,1,1,0,0,0,0,0,1
treatment,Off,Off,Off,Off,On,8,Nenhum,Todos igualmente,Somewhat unlikely,Somewhat Likely,Somewhat Unappropriate,0,1,0,0,"“Curtir”,“Retuitar""",Preocupado,0,0,0,0,3,Entre 36 e 45,Man,Employed,Segundo Grau/Ensino Médio Completo,0,1,0,0,0,0,1,0,0,1
control,On,Off,Off,On,Off,5,Não Sei,Partido dos Trabalhadores (PT),Somewhat unlikely,Very unlikely,Very Appropriate,0,0,0,0,"""Ignorar”",Preocupado,1,0,0,0,1,Entre 46 e 55,Feminino,Unemployed,Segundo Grau/Ensino Médio Completo,0,0,1,0,1,0,0,0,0,0
control,On,Off,Off,On,Off,10,Partido Social Liberal (PSL),Partido dos Trabalhadores (PT),Very unlikely,Somewhat Likely,Very Appropriate,0,0,0,0,"""Ignorar”",Irritado,0,0,0,1,5,Entre 18 e 25,Feminino,Employed,Ensino Superior Incompleto,1,1,0,0,0,1,0,0,0,0
treatment,Off,On,On,Off,Off,0,Nenhum,Partido Social Liberal (PSL),Very unlikely,Somewhat Likely,Not Appropriate,0,0,1,0,"""Ignorar”",Indiferente,0,0,0,0,4,Entre 26 e 35,Feminino,Unemployed,Ensino Superior Completo,1,0,1,1,0,0,0,0,0,1
treatment,Off,On,On,Off,Off,0,Partido dos Trabalhadores (PT),Partido Social Liberal (PSL),Somewhat unlikely,Somewhat unlikely,Not Appropriate,1,0,0,0,"""Ignorar”",Preocupado,0,0,0,0,5,Entre 26 e 35,Feminino,Unemployed,Ensino Superior Incompleto,0,0,1,0,1,0,0,0,1,0
treatment,Off,On,Off,Off,Off,3,Partido dos Trabalhadores (PT),Partido Social Democrático (PSD),Somewhat unlikely,Somewhat unlikely,Somewhat Unappropriate,0,1,0,0,"“Curtir”,“Retuitar""","Triste,Preocupado",0,0,0,0,3,Entre 46 e 55,Feminino,Employed,Ensino Superior Completo,0,1,0,0,0,0,1,0,1,0
treatment,Off,On,Off,Off,Off,0,Outro,Partido Social Liberal (PSL),Somewhat Likely,Somewhat Likely,Not Appropriate,0,1,0,0,"“Curtir”,“Retuitar""","Contente,Otimista",0,0,0,0,4,Entre 18 e 25,Feminino,Employed,Ensino Superior Completo,0,1,0,0,0,0,1,0,0,1
control,On,Off,Off,On,Off,10,Prefiro Não Responder,Partido dos Trabalhadores (PT),NA,Very unlikely,Very Appropriate,0,0,0,0,"""Ignorar”",Enojado,0,1,0,0,3,Entre 36 e 45,Feminino,Unemployed,Segundo Grau/Ensino Médio Completo,0,1,0,0,0,0,1,1,0,0
control,Off,Off,Off,Off,On,-999,Nenhum,Todos igualmente,Very unlikely,Somewhat Likely,Not Appropriate,0,0,0,0,"""Ignorar”",Indiferente,1,0,0,0,5,Entre 36 e 45,Feminino,Employed,Segundo Grau/Ensino Médio Completo,0,0,1,0,1,0,0,0,0,1
treatment,Off,Off,Off,Off,On,10,Prefiro Não Responder,Prefiro não Responder,Very unlikely,Very unlikely,Somewhat Appropriate,0,0,0,1,"""Ignorar”",Indiferente,0,0,0,0,5,Entre 18 e 25,Feminino,Employed,Ensino Superior Incompleto,1,1,0,0,0,1,0,0,0,1
control,Off,Off,Off,Off,On,5,Nenhum,Não sei,Very unlikely,Somewhat Likely,Somewhat Appropriate,0,0,0,0,"""Ignorar”",Indiferente,1,0,0,0,7,Entre 36 e 45,Feminino,Employed,Segundo Grau/Ensino Médio Incompleto,0,0,1,0,1,0,0,0,0,1
treatment,Off,On,Off,Off,Off,3,Nenhum,Todos igualmente,Somewhat unlikely,Somewhat Likely,Not Appropriate,0,0,1,0,"""Ignorar”",Indiferente,0,0,0,0,5,Entre 26 e 35,Feminino,Employed,Pós-graduação,1,0,1,1,0,0,0,0,0,1
treatment,On,Off,Off,On,Off,8,Nenhum,Partido dos Trabalhadores (PT),Very unlikely,Very unlikely,Somewhat Unappropriate,1,0,0,0,“Curtir”,Otimista,0,0,0,0,5,Entre 36 e 45,Feminino,Employed,Segundo Grau/Ensino Médio Completo,0,0,1,0,1,0,0,1,0,0
treatment,Off,Off,Off,Off,On,7,Nenhum,Todos igualmente,Somewhat unlikely,Very Likely,Somewhat Unappropriate,0,0,0,1,"""Ignorar”",Preocupado,0,0,0,0,3,Entre 36 e 45,Man,Employed,Segundo Grau/Ensino Médio Incompleto,1,1,0,0,0,1,0,0,0,1
control,Off,On,On,Off,Off,2,Partido dos Trabalhadores (PT),Partido Social Liberal (PSL),Somewhat Likely,Somewhat Likely,Not Appropriate,0,0,0,0,"“Curtir”,“Retuitar"",“Responder/Reply”","Irritado,Enojado,Otimista,Estressado,Triste,Preocupado",0,1,0,0,6,Entre 26 e 35,Man,Employed,Pós-graduação,0,1,0,0,0,0,1,0,1,0
control,Off,On,On,Off,Off,0,Nenhum,Movimento Democrático Brasileiro (MDB),Somewhat Likely,Somewhat unlikely,Not Appropriate,0,0,0,0,"""Ignorar”","Enojado,Triste,Preocupado",0,0,1,0,2,Entre 26 e 35,Feminino,Employed,Ensino Superior Completo,1,0,1,1,0,0,0,0,0,1
control,Off,Off,Off,Off,On,5,Nenhum,Movimento Democrático Brasileiro (MDB),Somewhat unlikely,Somewhat Likely,Not Appropriate,0,0,0,0,“Curtir”,"Irritado,Enojado,Triste",0,0,0,1,6,Entre 46 e 55,Man,Employed,Pós-graduação,1,1,0,0,0,1,0,0,0,1
treatment,Off,Off,Off,Off,On,5,Nenhum,Não sei,Somewhat unlikely,Somewhat unlikely,Somewhat Unappropriate,0,0,0,1,"""Ignorar”",Indiferente,0,0,0,0,3,Entre 46 e 55,Feminino,Unemployed,Segundo Grau/Ensino Médio Completo,1,1,0,0,0,1,0,0,0,1
treatment,Off,On,On,Off,Off,2,Nenhum,Partido Social Liberal (PSL),Somewhat unlikely,Somewhat Likely,Not Appropriate,0,1,0,0,"“Curtir”,“Retuitar""",Preocupado,0,0,0,0,4,Entre 26 e 35,Feminino,Employed,Ensino Superior Completo,0,1,0,0,0,0,1,0,0,1
treatment,Off,On,On,Off,Off,1,Outro,Partido Social Liberal (PSL),Very Likely,Somewhat Likely,Not Appropriate,0,0,0,1,"“Curtir”,“Retuitar"",“Responder/Reply”","Triste,Preocupado",0,0,0,0,2,Entre 36 e 45,Man,Employed,Segundo Grau/Ensino Médio Completo,1,1,0,0,0,1,0,0,0,1
control,Off,On,Off,Off,Off,1,Nenhum,Todos igualmente,Somewhat unlikely,Somewhat Likely,Very Appropriate,0,0,0,0,"“Retuitar""",Triste,0,0,0,1,6,Entre 36 e 45,Man,Employed,Ensino Superior Incompleto,1,1,0,0,0,1,0,0,0,1
control,On,Off,Off,On,Off,3,Nenhum,Partido dos Trabalhadores (PT),Very unlikely,Somewhat unlikely,Somewhat Unappropriate,0,0,0,0,“Curtir”,Indiferente,1,0,0,0,4,Entre 46 e 55,Feminino,Unemployed,Segundo Grau/Ensino Médio Completo,0,0,1,0,1,0,0,1,0,0
control,Off,On,Off,Off,Off,1,Partido dos Trabalhadores (PT),Partido Social Liberal (PSL),Somewhat Likely,Somewhat Likely,Not Appropriate,0,0,0,0,"""Ignorar”",Enojado,0,0,1,0,4,Entre 18 e 25,Feminino,Employed,Ensino Superior Completo,1,0,1,1,0,0,0,0,1,0
treatment,Off,Off,Off,Off,On,1,Outro,Partido Social Liberal (PSL),Somewhat unlikely,Very Likely,Not Appropriate,1,0,0,0,"“Retuitar""",Otimista,0,0,0,0,3,Entre 18 e 25,Man,Employed,Ensino Superior Incompleto,0,0,1,0,1,0,0,0,0,1
treatment,On,Off,Off,On,Off,8,Partido Social Liberal (PSL),Partido dos Trabalhadores (PT),Very Likely,Somewhat Likely,Somewhat Appropriate,0,0,1,0,"“Curtir”,“Retuitar""",Preocupado,0,0,0,0,5,Entre 26 e 35,Man,Unemployed,Pós-graduação,1,0,1,1,0,0,0,0,0,0
control,On,Off,Off,Off,Off,5,Prefiro Não Responder,Prefiro não Responder,Very unlikely,Somewhat Likely,Somewhat Unappropriate,0,0,0,0,"""Ignorar”",Indiferente,0,0,1,0,3,Entre 26 e 35,Feminino,Unemployed,Segundo Grau/Ensino Médio Completo,1,0,1,1,0,0,0,0,0,1
treatment,Off,On,Off,Off,Off,5,Partido dos Trabalhadores (PT),Partido Social Liberal (PSL),Somewhat Likely,Very Likely,Somewhat Unappropriate,0,1,0,0,"“Curtir”,“Retuitar""",Triste,0,0,0,0,4,Entre 18 e 25,Feminino,Unemployed,Ensino Superior Incompleto,0,1,0,0,0,0,1,0,1,0
